KEY	INTPTLAT10	INTPTLON10
724	42.2315334	-88.3232189
725	42.1961575	-88.2274399
726	42.1649516	-88.3425874
727	42.4184528	-88.62521
728	42.233216	-88.3621345
729	42.1820493	-88.3114813
730	42.2385073	-88.3220006
731	42.2004235	-88.2125659
732	42.4004105	-88.2134302
733	42.3930627	-88.2172711
734	42.3023152	-88.4430258
735	42.4191703	-88.6002673
736	42.1956456	-88.6515325
737	42.3320264	-88.4477847
738	42.4001801	-88.2361792
739	42.291014	-88.642278
740	42.3686229	-88.2773899
741	42.3330005	-88.2582359
742	42.3342571	-88.2738474
743	42.253017	-88.3274506
744	42.2739333	-88.2698759
745	42.2838295	-88.2197247
746	42.246689	-88.228873
747	42.2371856	-88.6276767
748	42.2300236	-88.587355
749	42.3424671	-88.2712671
750	42.384458	-88.4279486
751	42.411905	-88.2149218
752	42.2659643	-88.6361971
753	42.3410193	-88.3024237
754	42.3833937	-88.3501324
755	42.3138702	-88.2206261
756	42.2869031	-88.2026211
757	42.1594405	-88.4149595
758	42.479308	-88.3090198
759	42.4801503	-88.4399148
760	42.4496645	-88.3967647
761	42.47029	-88.2298646
762	42.4298215	-88.2424936
763	42.2167603	-88.4052848
764	42.2296418	-88.5385576
765	42.1863907	-88.5247282
766	42.2699739	-88.5220797
767	42.320444	-88.4475261
768	42.3202528	-88.4279277
769	42.393702	-88.3446685
770	42.3651854	-88.3502493
771	42.2532771	-88.3446299
772	42.2637638	-88.2026448
773	42.2681623	-88.5963175
774	42.1960027	-88.3769691
775	42.2141285	-88.2672334
776	42.2140787	-88.2906924
777	42.1757789	-88.3954597
778	42.4694481	-88.640005
779	42.2742583	-88.2116866
780	42.3071544	-88.4622
781	42.310953	-88.4387518
782	42.2007958	-88.4467516
783	42.305926	-88.3911757
784	42.2684342	-88.4396646
785	42.1714669	-88.4204988
786	42.4047899	-88.2184903
787	42.3365701	-88.2344669
788	42.3429375	-88.2194587
789	42.3614357	-88.2308451
790	42.1981175	-88.3616011
791	42.1889524	-88.3645916
792	42.2304953	-88.3472541
793	42.3676394	-88.294229
794	42.325489	-88.4480248
795	42.3526228	-88.2915632
